Team,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,1B,2B,3B,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,wins
LAD,LAD,7262,18775,726,2573,2483,329,0.09725699,0.215605858,0.191383796,0.293703362,0.25588431,0.334187486,0.447268106,0.336451929,0.338224007,114.8112268,10.14752761,345.6367177,-64.44659422,92.7478438,2585,851,67,8.89614651,3.153012001,2.82147563,1.190168562,0.23608202,0.08367324,0.15240878,0.231696184,1.228940778,0.279395248,0.73158319,94.41094071,95.33871986,97.24285183,3.975536871,4.112457736,-0.136920865,4.075062622,3.961881955,291
MIL,MIL,7152,18481,508,2311,2188,510,0.094800064,0.223851523,0.148399316,0.30086105,0.248778103,0.325787187,0.397177419,0.31643299,0.31282035,101.5093836,41.04301314,71.9846504,41.26228117,74.81526017,2726,771,67,8.790118472,3.160702174,2.78106509,1.167859712,0.23361131,0.08400066,0.14961065,0.228348378,1.215654682,0.274215788,0.75682276,87.03177646,97.77958115,98.2176889,3.655276216,4.104276124,-0.448999908,4.115136686,4.003587827,282
PHI,PHI,6940,18539,630,2358,2274,413,0.085333621,0.225902152,0.174059787,0.305597579,0.257111861,0.326626642,0.431171648,0.327821903,0.326298675,106.8300032,28.32650303,180.2397129,-69.00452501,74.72715759,2715,844,77,9.067972242,2.806951481,3.23054114,1.129855192,0.24011019,0.07432507,0.16578512,0.240396754,1.23643658,0.29452872,0.73204594,90.50014102,90.36671517,90.5705824,3.893110616,3.853268243,0.039842373,3.793962099,3.792769954,281
NYY,NYY,7026,18453,730,2337,2252,322,0.101230152,0.228472335,0.185237627,0.279598077,0.241935483,0.323139598,0.42717311,0.324489043,0.337094048,110.2130374,-33.39106435,184.0753041,2.289909072,83.00293052,2431,719,50,9.008311081,3.319944905,2.71339174,1.144736948,0.2370824,0.08737492,0.14970748,0.229815929,1.242151546,0.279246587,0.73559798,94.92475089,96.20245,98.05961609,3.878809222,4.10308503,-0.224275807,4.105009945,3.998036674,270
ATL,ATL,6910,18510,710,2375,2291,283,0.086331712,0.222636412,0.184070903,0.296049861,0.254732907,0.324656348,0.43880381,0.329811036,0.337799637,109.1977724,-9.023141378,201.0502055,-38.39591392,79.31281343,2649,809,57,9.340867745,3.151111014,2.96430932,1.112156828,0.24603654,0.08299962,0.16303692,0.240247153,1.26789581,0.298720515,0.73490707,93.844704,95.13313054,92.55805235,3.994600744,3.911031364,0.083569379,3.879918713,3.838890532,269
BAL,BAL,7217,18319,609,2270,2182,333,0.081063376,0.228505922,0.170469718,0.292315504,0.246571185,0.313566739,0.417040903,0.316620076,0.319781367,104.7818226,15.672443,116.0571577,-93.69699245,65.44317148,2552,822,80,8.654140289,3.071159348,2.81787407,1.183134508,0.22699755,0.08055631,0.14644123,0.243800168,1.281555774,0.292652345,0.72155299,102.0647089,98.81811724,97.97998999,4.154486376,4.109062886,0.04542349,4.100731454,4.031972419,267
HOU,HOU,7001,18447,594,2253,2155,285,0.079633544,0.201550387,0.161150298,0.295749657,0.256887924,0.323001631,0.418038222,0.321514282,0.32374893,107.3127583,-27.6008731,130.2122955,-36.69303344,73.082424,2826,791,50,9.257679227,3.310927817,2.79609817,1.214770873,0.2445374,0.08745666,0.15708074,0.232332479,1.24926694,0.283802817,0.74950773,93.72775039,98.86150361,96.57890838,3.852678121,4.121438115,-0.268759995,4.047280981,3.93828747,265
SDP,SDP,7234,18370,547,2214,2108,363,0.088241698,0.193195427,0.154547123,0.290424242,0.253256681,0.32486448,0.407803804,0.319307606,0.326809092,106.2502421,9.038811229,147.5923628,-53.32377039,72.32724977,2758,786,50,9.020170822,3.242504154,2.78185328,1.087094378,0.23894539,0.08589432,0.15305107,0.230434783,1.232689446,0.28225666,0.74797731,91.98179848,95.70782726,97.06130642,3.74536355,3.976916044,-0.231552494,4.068728465,3.968779685,265
SEA,SEA,7198,18467,633,2200,2104,419,0.090052526,0.253100124,0.166054371,0.290910723,0.237080578,0.317643865,0.403134949,0.314759097,0.31964646,108.5450504,-6.568020444,179.643725,-67.74676151,74.99774118,2460,745,34,8.908861475,2.576755098,3.4573955,1.157882717,0.23973023,0.06933839,0.17039184,0.230410561,1.16202541,0.278530976,0.73538005,95.79340572,96.28459163,92.53709517,3.70149627,3.863489906,-0.161993636,3.877640658,3.77817937,263
CHC,CHC,7022,18498,589,2348,2253,444,0.09028003,0.21786139,0.166180049,0.292338541,0.2486618,0.322529944,0.414841849,0.320447519,0.325772662,105.1615829,29.62693009,144.5609715,-0.168313566,77.85650263,2622,789,88,8.345987658,2.934691901,2.84390592,1.175550141,0.22140836,0.07785362,0.14355474,0.237889747,1.235745374,0.281657004,0.73287613,93.71666992,100.01471,99.02022063,3.896885967,4.122197879,-0.225311912,4.149944805,4.076596648,258
TOR,TOR,7284,18460,535,2215,2116,248,0.085590465,0.196912242,0.156987681,0.294023006,0.254263001,0.325232425,0.411250682,0.320507719,0.32311786,106.5210841,-28.90823505,113.5117144,40.74225822,79.36296886,2731,866,58,8.906185661,3.143850182,2.83289125,1.282140492,0.2342619,0.08269357,0.15156833,0.239363312,1.265462242,0.28704022,0.73496984,99.68987403,100.2241573,98.70907952,4.088256105,4.249057718,-0.160801613,4.128757308,3.999938454,257
CLE,CLE,7244,17966,477,2013,1913,428,0.07965045,0.204942669,0.145230273,0.277764016,0.238083431,0.305758811,0.383313704,0.299812807,0.301586937,92.88688381,16.24717629,-135.5555421,8.236385476,49.11729555,2517,782,65,8.557719779,3.239916825,2.64133934,1.086926379,0.2263672,0.08570167,0.14066553,0.235749558,1.256374701,0.284040747,0.74511904,91.98723727,97.86509882,100.6829802,3.759388357,4.048650508,-0.289262151,4.217830693,4.120185044,256
TBR,TBR,7108,18215,559,2178,2071,532,0.080977216,0.236178973,0.157116677,0.300120461,0.247220525,0.315838697,0.404337202,0.313814866,0.309815335,103.470803,24.92949493,102.3446861,-97.2127151,63.02313815,2656,769,63,9.031294072,2.833101721,3.18777614,1.205841528,0.24082109,0.07554517,0.16527592,0.23241795,1.199582835,0.281260854,0.7364936,95.64546772,96.88961999,94.13202715,3.863699843,4.000471817,-0.136771974,3.939304425,3.814634457,256
ARI,ARI,7174,18618,591,2423,2319,406,0.088838758,0.205607476,0.172344567,0.294860234,0.25477552,0.327926466,0.427120087,0.327001138,0.323911065,106.8721952,35.18054938,186.645369,-15.4821302,81.24679182,2656,822,119,8.228254972,3.135564774,2.62416999,1.195095737,0.21387596,0.08150233,0.13237363,0.252542675,1.330660217,0.298852446,0.70035635,106.1617075,104.6432679,100.6528971,4.534701247,4.238700886,0.296000361,4.220641541,4.190118677,253
DET,DET,7227,18194,525,2101,2015,222,0.082169946,0.24117841,0.154616512,0.292274492,0.238825109,0.30684509,0.393441621,0.305254235,0.313472664,95.07181136,11.89999677,-94.02352165,-26.05676266,50.70386778,2541,733,112,8.536719618,2.86499218,2.97966594,1.108962115,0.22698606,0.07617836,0.1508077,0.235528942,1.21854061,0.282508195,0.71714846,95.1583287,94.41909976,95.91028903,3.946906438,3.960511035,-0.013604597,4.018909793,3.952771088,251
TEX,TEX,6988,18405,584,2248,2155,310,0.085574572,0.218799239,0.159842519,0.288199067,0.245124167,0.315299624,0.404966686,0.313293992,0.318859979,102.3766529,-5.85905512,48.41255452,6.402756379,68.68996499,2624,791,48,8.496402033,3.100998676,2.73989218,1.186905154,0.22495159,0.08210235,0.14284924,0.236957582,1.247272004,0.281977238,0.73448464,99.34033196,98.99732491,100.3505004,4.047597329,4.17297486,-0.125377531,4.200342915,4.091189593,249
BOS,BOS,7178,18572,562,2309,2206,395,0.080605212,0.234815851,0.168013891,0.310492685,0.254775163,0.322072315,0.422789054,0.322472534,0.316651128,103.120313,7.937380814,75.00668827,-107.1364531,60.9431516,2646,974,73,8.596860501,3.092126765,2.78024194,1.165781663,0.22396059,0.08055435,0.14340624,0.245463228,1.293004023,0.294591007,0.71989062,94.99114647,98.7730434,98.01648819,4.093743096,4.150143175,-0.05640008,4.103489397,4.031870428,248
NYM,NYM,7180,18400,646,2251,2173,371,0.087065217,0.219456521,0.172075934,0.284209632,0.244458052,0.320523303,0.416533986,0.320495265,0.330268442,106.7285141,1.053007557,148.169627,-53.3167934,72.64985648,2529,762,55,8.891626019,3.643490067,2.44041451,1.057178465,0.23080693,0.09457694,0.13622999,0.238301772,1.314015032,0.292164789,0.72350426,100.0845132,99.13919338,100.2423889,4.096566552,4.131958607,-0.035392055,4.204395435,4.1409682,247
CIN,CIN,7268,18247,539,2198,2087,502,0.086534772,0.239710637,0.157940019,0.295860566,0.241764995,0.315601472,0.399705014,0.312357741,0.30539851,93.05789406,38.46572005,-113.0967946,-125.7308328,37.93938582,2531,775,89,8.64159062,3.33446997,2.59159348,1.271868094,0.22440111,0.08658808,0.13781303,0.240617835,1.297435618,0.285593578,0.72951446,95.85234812,99.37187082,104.7201904,4.263268381,4.381980854,-0.118712473,4.396462412,4.175402678,242
SFG,SFG,7175,18229,524,2072,1984,193,0.087333369,0.237204454,0.152335816,0.286989685,0.236043577,0.309529049,0.388379393,0.304915622,0.31120485,95.28522707,-18.53902052,-123.571886,-18.368292,47.89459205,2479,761,71,8.688285188,3.002092281,2.89407666,0.981171624,0.2278238,0.07872072,0.14910308,0.246442354,1.283589127,0.302457783,0.71521456,96.57726159,94.68520752,93.01651011,3.987448006,3.819227116,0.16822089,3.894352568,3.894298787,240
MIN,MIN,7291,18401,607,2198,2090,265,0.08488669,0.235421987,0.169215769,0.291411307,0.242703065,0.317199324,0.411918834,0.317380432,0.318725685,103.016258,-17.6316001,47.44968212,-71.92419223,60.91246523,2487,822,67,9.236897611,2.782323626,3.31985019,1.204631502,0.24322248,0.07326309,0.16995939,0.241999281,1.244230116,0.296334361,0.71503526,101.6214456,94.11229338,95.33875928,4.224546809,3.940346506,0.284200303,3.99168229,3.793708719,239
STL,STL,6965,18387,522,2080,1989,281,0.082993419,0.215641485,0.148024316,0.293538512,0.247416413,0.317243638,0.395440729,0.311310528,0.31859401,99.29821548,-15.62801846,-30.2201279,-57.99177524,53.79034095,2721,785,42,7.803299807,3.021374122,2.58269896,1.09354925,0.20241905,0.07837501,0.12404404,0.258091336,1.345388507,0.303798474,0.69879888,106.0503311,100.8989431,99.84603352,4.397197078,4.144705742,0.252491336,4.189865541,4.234330398,232
MIA,MIA,7278,18233,470,2012,1921,349,0.072121976,0.216311084,0.14086463,0.300546002,0.251056635,0.310149237,0.391921265,0.30559378,0.311674784,92.03195206,-6.819461056,-182.1373278,-97.43832192,33.80780974,2840,773,75,8.551668987,3.288461837,2.60050729,1.219879629,0.22113777,0.0850364,0.13610138,0.247759589,1.326228109,0.295552605,0.69951315,105.5041054,102.6822064,101.251415,4.518767787,4.303151541,0.215616245,4.240694025,4.133335595,225
KCR,KCR,7213,17975,492,2062,2000,408,0.070931849,0.203226703,0.152948403,0.286295572,0.246314496,0.305977653,0.399262899,0.305741175,0.318339997,92.67674594,13.48508723,-142.6197741,13.06998056,48.93924168,2604,814,100,8.170970227,3.165198003,2.58150366,1.103502165,0.21385658,0.08284187,0.13101472,0.24556285,1.297012828,0.291832669,0.71857366,98.6603621,99.2579028,102.5016387,4.213946243,4.150354387,0.063591856,4.293526761,4.220531205,224
PIT,PIT,7077,18183,436,1940,1866,338,0.086399384,0.241544299,0.136179112,0.292936288,0.234961249,0.306958009,0.371140361,0.297745399,0.308895889,86.09540841,-4.332268006,-308.283986,-36.79770857,26.84975782,2547,768,69,8.4424724,3.315863199,2.54608586,1.042487294,0.21943522,0.08618532,0.1332499,0.242570669,1.302527632,0.292557173,0.71278541,96.89529488,97.87592496,102.0093262,4.182509262,4.087273678,0.095235584,4.278902137,4.185927767,223
LAA,LAA,7002,18120,622,2047,1953,293,0.081898454,0.252041942,0.164549938,0.283484345,0.233168927,0.305334218,0.397718865,0.306066874,0.311550939,94.80972026,-25.78745917,-134.6901665,-183.1849744,29.95517843,2415,687,58,8.335585172,3.892175425,2.14162628,1.328831028,0.21260558,0.09927296,0.11333262,0.249639163,1.399161728,0.292668719,0.7050586,112.3869233,111.1763908,109.5536217,4.697019454,4.704422673,-0.007403219,4.578910245,4.447899004,208
WSN,WSN,7026,18038,447,2047,1943,482,0.073289721,0.206231289,0.140274544,0.291221778,0.246353719,0.308916842,0.386628263,0.303900058,0.309387282,92.23838202,2.107568491,-166.8953137,-153.7982784,28.95630008,2697,804,72,7.952789093,3.425138371,2.32188841,1.316714751,0.2026651,0.0872846,0.1153805,0.262917482,1.414715849,0.305794423,0.69716897,115.4396129,108.9914889,106.0375355,4.888854768,4.600534938,0.288319831,4.45441547,4.39518176,208
OAK,OAK,7183,18151,586,1961,1891,327,0.082254421,0.242631259,0.161510129,0.286728611,0.236771025,0.30609196,0.398281154,0.306888394,0.305712784,97.93757938,-8.851748369,-54.57814352,-163.9333229,40.55617108,2454,761,56,8.144854128,3.760130805,2.16610925,1.265952623,0.20695532,0.09554242,0.1114129,0.253485728,1.404285195,0.297193356,0.69588007,119.1651979,113.065614,113.4909157,4.854215687,4.64730114,0.206914548,4.748192369,4.489974855,195
COL,COL,6975,17989,502,2000,1921,248,0.071988437,0.26077047,0.154480988,0.307106149,0.242572441,0.302308721,0.397053429,0.303759421,0.299986487,78.57307754,-32.61001925,-497.5090331,-83.67489705,2.316062533,2538,835,93,7.076271826,3.608051173,1.96124486,1.495762847,0.17574323,0.089608,0.08613523,0.285530245,1.548728953,0.320006139,0.67009423,118.8039231,116.1222854,115.1973833,5.718220856,5.135197931,0.583022924,4.839524088,4.741303177,163
CHW,CHW,7170,17836,469,1795,1728,261,0.071204305,0.234974209,0.13553902,0.280167621,0.230305639,0.290369786,0.365844659,0.287171569,0.29669581,82.43375248,-24.69905231,-391.3516616,-174.5455765,3.815975337,2511,733,32,8.692807185,3.990002716,2.17864693,1.27376408,0.22082932,0.10136076,0.11946855,0.247931389,1.405217658,0.295917505,0.71119887,111.2688631,106.4434805,109.1975257,4.612122589,4.57647918,0.035643409,4.564653914,4.381493,162
